id,ano,barrio,titulo,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
476,2020,MUNRO,"Centro de Jubilados ""Gracias a la vida""",Provisión de manteleria y cortinas,VELEZ SARSFIELD 4198,"-34.527822114773805, -58.51889928769671",235000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,RECREACIÓN,ADULTOS MAYORES,1,552,FINALIZADO
477,2020,MUNRO,Escuela de Educación Especial Nº 504,Nuevo patio de juegos,AGUERO 2685,"-34.52428033068611, -58.51566805931688",371250,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS Y JÓVENES POBLACIÓN VULNERABLE,1,778,FINALIZADO
478,2020,MUNRO,Escuela Primaria Nº 19,Equipos de aire acondicionado. Reparar baños. Pintura en patios.,Armenia 2449,"-34.529948383232856, -58.52159144301851",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS,1,962,EN PROCESO DE COMPRA
479,2020,MUNRO,Instituto Superior de Formación Técnica Nº 220,Sistema de climatización,Virrey Loreto 2563,"-34.53932555843393, -58.537087115152026",136836,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,JÓVENES Y ADULTOS,1,518,FINALIZADO
480,2020,MUNRO,Seguridad del barrio: mejorar el equipamiento de tecnológico.,"Cámaras de vigilancia, puntos seguros, entre otros",Ubicación random dentro del Barrio,"-34.530172580814586, -58.52555324785036",3000000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,937,EN EJECUCIÓN
481,2020,MUNRO,Sociedad de Fomento y Cultura Grossville,Construcción de una losa,VILLATE 3675,"-34.52728944705028, -58.511439842008194",1435000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,864,FINALIZADO
482,2020,OLIVOS,APIAD (Centro de día de protección integral al discapacitado),Adquisición de un grupo electrógeno,AYACUCHO 3939,"-34.50638665287402, -58.509080731903786",685000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,SANITARIA,JÓVENES Y ADULTOS CON DISCAPACIDAD,1,723,EN EJECUCIÓN
483,2020,OLIVOS,Asociación Vecinal CIRES Norte,Remodelación de vestuarios,DIAZ VELEZ 3155,"-34.50777854335209, -58.51391670139235",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,2223,FINALIZADO
484,2020,OLIVOS,Campañas sobre buenos hábitos alimenticios,Realización de Talleres,Ubicación random dentro del Barrio,"-34.51048519020553, -58.495845305595616",280000,SALUD,OTROS,OTROS,SALUD,NIÑOS,2,141,EN PROCESO DE COMPRA
485,2020,OLIVOS,Escuela de Educación Especial Nº 502,Equipamiento,PEDRO GOYENA 3264,"-34.51320201468078, -58.507186039536855",1000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS Y JÓVENES CON DISCAPACIDAD,1,867,FINALIZADO
486,2020,OLIVOS,Hospice San Camilo,Reparación de la cubierta,Hilarion de la Quintana 2125,"-34.51817453922428, -58.490280240806854",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,SANITARIA,POBLACIÓN VULNERABLE,1,1233,FINALIZADO
487,2020,OLIVOS,Jardín de Infantes Municipal Nº 6,Equipamiento tecnológico,J INGENIEROS 3475,"-34.5313547888669, -58.4843866129207",531000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,EDUCACIÓN,NIÑOS,1,937,FINALIZADO
488,2020,OLIVOS,Seguridad del barrio: mejorar el equipamiento de tecnológico,"Cámaras de vigilancia, puntos seguros, entre otros",Ubicación random dentro del Barrio,"-34.51048519020553, -58.495845305595616",3000000,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,1057,EN EJECUCIÓN
489,2020,OLIVOS,"Sociedad de Fomento ""12 de Octubre""",Construcción de un SUM,J Maria Paz 3645,"-34.50722869953289, -58.5049357795736",3000000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,POBLACIÓN EN GENERAL,1,1376,EN EJECUCIÓN
490,2020,VICENTE LÓPEZ,Centro Cultural Jean Piaget en ISFD Nº39,Última etapa,A ÁLVAREZ 1459,"-34.53314593783144, -58.477966186998096",2100000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,CULTURA,POBLACIÓN EN GENERAL,1,1093,EN EJECUCIÓN
491,2020,VICENTE LÓPEZ,Centro Recreativo de Adultos Mayores Activos,Aire acondicionado en salones y provisión de divisiones móviles,JUAN CARLOS CRUZ 150,"-34.53132411188873, -58.465294442254816",1400000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,DEPORTES Y RECREACIÓN,ADULTOS MAYORES,1,489,EN PROCESO DE COMPRA
